"eventno","rectype","month","day","year","time","lat","long","heading","alt","legtype","legstage","legno","visiblty","glarel","glarer","beaufort","cloud","wx","sightno","anglel","angler","speccode","number","numcalf","anhead","photos","idrel","confidnc","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","refno","stratum","utc","radalt","gpsspeed","setalt","setvel","lensfl","ggf","int","gpsq","gpssats","roll","pitch","yaw","maghead","notes","edits","glarev","ph_qual","TrackDist"
943,"X",7,25,2023,93457,41.336565,-71.23211,192,472,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",91.8,1000,100,"","","","","","","","","","","","","",0.125982375
944,"X",7,25,2023,93502,41.33447333,-71.23232833,180,470,1,"-","",5,"","",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",89.7,1000,100,"","","","","","","","","","","","","",0.125969754
945,"S",7,25,2023,93503,41.33419432,-71.23231575,180,471,2,"1","7",5,"3","1",2,2,"H","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",89.9,1000,100,"","","","","","","","","","","","","",0.016761471
946,"X",7,25,2023,93507,41.33236667,-71.23223333,178,474,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",90.9,1000,100,"","","","","","","","","","","","","",0.12655772
947,"X",7,25,2023,93512,41.33022667,-71.23221,181,472,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93,1000,100,"","","","","","","","","","","","","",0.128490885
948,"X",7,25,2023,93514,41.32943165,-71.23221,180,472,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",92.7,1000,100,"","","","","","","","","","","","","",0.047733377
949,"X",7,25,2023,93517,41.32806667,-71.23221,179,472,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",92.1,1000,100,"","","","","","","","","","","","","",0.129687387
950,"X",7,25,2023,93522,41.32592667,-71.23215,179,474,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.4,1000,100,"","","","","","","","","","","","","",0.128515054
951,"X",7,25,2023,93527,41.32376167,-71.23205667,178,476,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.9,1000,100,"","","","","","","","","","","","","",0.130055693
952,"X",7,25,2023,93532,41.32159667,-71.231925,178,477,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.8,1000,100,"","","","","","","","","","","","","",0.130123098
953,"X",7,25,2023,93537,41.319425,-71.231825,177,478,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.6,1000,100,"","","","","","","","","","","","","",0.130465807
954,"X",7,25,2023,93542,41.31725333,-71.23165833,176,479,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.3,1000,100,"","","","","","","","","","","","","",0.13060428
955,"X",7,25,2023,93547,41.31508667,-71.23138667,173,480,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.6,1000,100,"","","","","","","","","","","","","",0.130663236
956,"X",7,25,2023,93552,41.31293333,-71.23099,171,482,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.2,1000,100,"","","","","","","","","","","","","",0.130518773
957,"X",7,25,2023,93557,41.31078167,-71.23051,170,480,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.8,1000,100,"","","","","","","","","","","","","",0.130988126
958,"X",7,25,2023,93602,41.30860833,-71.23002167,170,480,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.4,1000,100,"","","","","","","","","","","","","",0.132333436
959,"X",7,25,2023,93607,41.30637,-71.22967167,176,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.4,1000,100,"","","","","","","","","","","","","",0.135314447
960,"X",7,25,2023,93607,41.30637,-71.22967167,176,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",98.4,1000,100,"","","","","","","","","","","","","",0
961,"X",7,25,2023,93612,41.30416167,-71.22957167,180,486,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",96.1,1000,100,"","","","","","","","","","","","","",0.132666033
962,"X",7,25,2023,93617,41.30195167,-71.22962,181,487,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",95.1,1000,100,"","","","","","","","","","","","","",0.132707318
963,"X",7,25,2023,93622,41.299785,-71.22969667,182,489,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.1,1000,100,"","","","","","","","","","","","","",0.130133612
964,"P",7,25,2023,93625,41.2985893,-71.22976217,182,489,2,"2","7",5,"3","1",2,2,"H","6","42","","FG-U","2","","","1","9","0","","","","","","","","","","","","","","","","","","","",94,1000,100,"","","","","","","","","","","","","",0.071851208
965,"X",7,25,2023,93627,41.297625,-71.229815,182,489,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94,1000,100,"","","","","","","","","","","","","",0.129797185
966,"X",7,25,2023,93632,41.29544333,-71.229905,181,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.4,1000,100,"","","","","","","","","","","","","",0.131051162
967,"X",7,25,2023,93637,41.29325,-71.22995167,181,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.8,1000,100,"","","","","","","","","","","","","",0.131705561
968,"X",7,25,2023,93642,41.29106833,-71.23000167,181,487,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94,1000,100,"","","","","","","","","","","","","",0.131007683
969,"X",7,25,2023,93647,41.28889167,-71.23009333,182,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.2,1000,100,"","","","","","","","","","","","","",0.130753473
970,"X",7,25,2023,93652,41.28673,-71.23019667,183,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.7,1000,100,"","","","","","","","","","","","","",0.129871153
971,"X",7,25,2023,93657,41.284575,-71.23036167,184,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93,1000,100,"","","","","","","","","","","","","",0.129601155
972,"X",7,25,2023,93702,41.28243333,-71.23058167,185,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",92.7,1000,100,"","","","","","","","","","","","","",0.128969177
973,"X",7,25,2023,93707,41.28030833,-71.23083833,185,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",92.8,1000,100,"","","","","","","","","","","","","",0.12811046
974,"X",7,25,2023,93707,41.28030833,-71.23083833,185,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",92.8,1000,100,"","","","","","","","","","","","","",0
975,"X",7,25,2023,93712,41.27816833,-71.23104667,183,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93,1000,100,"","","","","","","","","","","","","",0.128829978
976,"X",7,25,2023,93717,41.27602,-71.231145,181,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",92.8,1000,100,"","","","","","","","","","","","","",0.129063207
977,"X",7,25,2023,93722,41.27387,-71.231115,178,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.2,1000,100,"","","","","","","","","","","","","",0.129094081
978,"X",7,25,2023,93727,41.27170833,-71.23102833,178,488,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.9,1000,100,"","","","","","","","","","","","","",0.129846363
979,"X",7,25,2023,93732,41.26953333,-71.23097833,180,489,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94.2,1000,100,"","","","","","","","","","","","","",0.130607486
980,"X",7,25,2023,93737,41.26735,-71.23098667,181,490,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.9,1000,100,"","","","","","","","","","","","","",0.131088871
981,"X",7,25,2023,93737,41.26735,-71.23098667,181,490,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",93.9,1000,100,"","","","","","","","","","","","","",0
982,"X",7,25,2023,93742,41.265175,-71.23108333,183,490,2,"2","7",5,"3","1",2,2,"H","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",94,1000,100,"","","","","","","","","","","","","",0.130660843
983,"P",7,25,2023,93747,41.26310899,-71.23128914,184,491,2,"2","7",5,"3","1",2,2,"H","7","24","","FG-U","1","","","1","3","0","","","","","","","","","","","","","","","","","","","",93.2,1000,100,"","","","","","","","","","","","","",0.124391147
